-250.40	-389.47
-249.57	-389.19
-247.06	-388.34
-242.88	-386.83
-237.04	-384.59
-229.52	-381.55
-220.41	-377.61
-209.97	-372.71
-198.57	-366.79
-186.55	-359.78
-174.27	-351.59
-162.07	-342.15
-150.31	-331.37
-139.34	-319.19
-129.48	-305.53
-120.93	-290.61
-113.48	-275.24
-106.73	-260.54
-100.32	-247.28
-93.89	-235.69
-87.04	-225.77
-87.04	-225.77
-84.03	-221.73
-81.26	-217.55
-78.69	-213.24
-76.31	-208.83
-74.10	-204.31
-72.04	-199.71
-70.11	-195.04
-68.29	-190.30
-66.56	-185.51
-64.90	-180.67
-63.30	-175.79
-61.72	-170.90
-60.15	-166.00
-58.58	-161.11
-56.98	-156.23
-55.35	-151.38
-53.65	-146.56
-51.88	-141.78
-50.01	-137.06
-48.00	-132.41
-48.00	-132.41
-41.50	-118.05
-34.94	-103.71
-28.36	-89.38
-21.78	-75.05
-15.20	-60.71
-8.62	-46.38
-2.04	-32.04
4.54	-17.71
11.12	-3.37
17.70	10.96
24.28	25.30
30.86	39.63
37.44	53.97
44.02	68.30
50.60	82.64
57.18	96.97
63.75	111.31
70.33	125.64
76.91	139.98
83.46	154.33
83.46	154.33
92.56	172.39
103.47	190.76
115.89	209.42
129.53	228.29
144.04	247.31
159.07	266.41
174.24	285.51
189.26	304.60
203.83	323.62
217.65	342.49
230.40	361.21
241.80	379.70
251.53	397.89
259.27	415.78
264.62	433.29
267.25	450.35
266.85	466.95
263.13	483.02
255.79	498.49
244.51	513.32
244.51	513.32
228.75	528.09
211.54	539.89
192.99	548.92
173.19	555.35
152.34	559.38
130.59	561.21
108.03	561.02
84.81	559.02
61.10	555.37
37.01	550.29
12.63	543.87
-11.84	536.29
-36.27	527.85
-60.56	518.73
-84.56	509.03
-108.08	498.86
-131.03	488.39
-153.31	477.83
-174.72	467.36
-195.08	457.18
-195.08	457.18
-208.19	449.89
-220.60	441.67
-232.33	432.59
-243.45	422.70
-253.95	412.05
-263.88	400.73
-273.27	388.79
-282.18	376.28
-290.64	363.27
-298.66	349.87
-306.28	336.10
-313.54	322.03
-320.49	307.74
-327.18	293.28
-333.59	278.71
-339.79	264.09
-345.80	249.52
-351.68	235.04
-357.46	220.69
-363.15	206.56
-363.15	206.56
-372.31	184.67
-382.01	162.79
-392.04	140.90
-402.17	118.90
-412.23	96.68
-422.11	74.25
-431.67	51.60
-440.78	28.73
-449.36	5.64
-457.28	-17.61
-464.44	-40.92
-470.73	-64.22
-476.15	-87.53
-480.59	-110.83
-483.94	-134.14
-486.09	-157.45
-486.94	-180.75
-486.38	-204.06
-484.29	-227.36
-480.67	-250.61
-480.67	-250.61
-476.50	-270.89
-470.86	-294.83
-463.75	-320.97
-455.14	-347.57
-444.96	-372.83
-433.18	-394.96
-419.80	-412.96
-404.89	-426.69
-388.72	-436.16
-371.67	-441.37
-354.23	-442.44
-336.86	-439.97
-319.95	-434.74
-303.90	-427.58
-289.14	-419.35
-276.12	-410.86
-265.30	-402.85
-257.08	-396.12
-251.86	-391.52
-250.05	-389.86
