QGC WPL 110											
0	1	0	16	0	0	0	0	-21.96678781396533	-47.86090223613185	888	1
1	0	3	22	15	0	0	0	-21.96687067261599	-47.8621326149261	30	1
2	0	3	16	0	0	0	0	-21.96660358493892	-47.86317280098248	80	1
3	0	3	16	0	0	0	0	-21.96489434949582	-47.86739987437602	80	1
4	0	3	16	0	0	0	0	-21.96404503109411	-47.86702474216457	80	1
5	0	3	16	1	0	0	0	-21.96483409231673	-47.86507398163257	80	1
6	0	3	16	0	0	0	0	-21.96550735975164	-47.86341045277124	80	1
7	0	3	16	0	0	0	0	-21.96468783001131	-47.86306828327282	80	1
0	0	3	16	0	0	0	0	-21.96450241749083	-47.86353975630698	80	1
8	0	3	16	0	0	0	0	-21.96328069973763	-47.86663212935228	80	1
9	0	3	16	0	0	0	0	-21.96233233860019	-47.86623353042673	80	1
0	0	3	16	0	0	0	0	-21.964105955395635	-47.86180763828991	80	1
10	0	3	16	0	0	0	0	-21.96450661658846	-47.86080348236617	80	1
11	0	3	16	0	0	0	0	-21.96357789399649	-47.86041575212641	80	1
12	0	3	16	0	0	0	0	-21.9613772734474	-47.86582716306648	80	1
13	0	3	16	0	0	0	0	-21.96207345169366	-47.86612200797175	80	1
0	0	3	16	0	0	0	0	-21.96272652645342	-47.86620544738345	80	1
14	0	3	16	0	0	0	0	-21.96403033282627	-47.86636596886274	80	1
15	0	3	16	0	0	0	0	-21.96555174476598	-47.86552254313045	80	1
16	0	3	16	0	0	0	0	-21.96645631765931	-47.86327500308044	50	1
17	0	3	16	0	0	0	0	-21.96682549714193	-47.86213980347146	30	1
18	0	3	16	0	0	0	0	-21.96674577235644	-47.8609079216414	10	1
