-22.00169444444445;-47.93321388888889;15.0
-22.001728609605994;-47.93322615122778;15.0
-22.00177180285289;-47.933236778588146;15.0
-22.001807773631505;-47.93325037180818;15.0
-22.001843531202642;-47.93326976723307;15.0
-22.001875663210704;-47.93329370403139;15.0
-22.001910695669224;-47.93331792191943;15.0
-22.001928490429105;-47.933364561625574;15.0
-22.001952483089777;-47.93340161202766;15.0
-22.001971250251845;-47.933453720631896;15.0
-22.0019941978128;-47.93348969522811;15.0
-22.00202772616967;-47.933403691303006;15.0
-22.002064178276985;-47.93330489589075;15.0
-22.0020957546561;-47.93321633366821;15.0
-22.002064962097908;-47.933159326443864;15.0
-22.002030918882713;-47.93311386223762;15.0
-22.001997415389898;-47.933056222337825;15.0
-22.00196348011918;-47.933008322992876;15.0
-22.001929890270784;-47.93295263120405;15.0
-22.001907412471713;-47.932866386353666;15.0
-22.001881261225517;-47.93277705183312;15.0
-22.00186564099514;-47.93268610160241;15.0
-22.001840175888834;-47.93259945138147;15.0
-22.001828303347487;-47.932505516386755;15.0
-22.0018622165449;-47.93241354884512;15.0
-22.001823383420625;-47.9324669127273;15.0
-22.001762174367904;-47.93254471137608;15.0
-22.00166811270216;-47.932577275112685;15.0
-22.001613130986566;-47.932574358053145;15.0
-22.00157007844249;-47.93255602614241;15.0
-22.001521005638416;-47.932550254439526;15.0
